Article Date,Article Title,Organization,City,State,URL,Keywords,Summary
3/8/17 13:33,Vermont top court weighs if KKK fliers are protected speech,Winston-Salem Journal,Winston-Salem,NC,http://www.journalnow.com/news/state_region_ap/vermont-top-court-weighs-if-kkk-fliers-are-protected-speech/article_658541b2-46b2-5523-9100-bba9d83fd7bc.html,,
3/8/17 14:18,Kansas unlikely to pass hate crimes bill after Olathe bar shooting,Lawrence Journal World,Lawrence,KS,http://www2.ljworld.com/news/2017/mar/08/kansas-unlikely-pass-hate-crimes-bill-after-olathe/,,
3/8/17 14:18,Kansas unlikely to pass hate crimes bill after sports-bar shooting,hays Post,Hays,KS,https://www.hayspost.com/2017/03/08/kansas-unlikely-to-pass-hate-crimes-bill-after-sport-bar-shooting/,,
3/8/17 14:18,Kansas unlikely to pass hate crimes bill after bar shooting,Gillette News Record,Gillette,WY,http://www.gillettenewsrecord.com/ap/national/article_73a828bf-d8dc-5808-8b10-292904b0ee0c.html,,
3/8/17 14:52,Another думhate crimeдуќ bites the dust,Hot Air,,MD,http://hotair.com/archives/2017/03/08/another-hate-crime-bites-the-dust/,,
3/8/17 14:54,Second Mississippi City Passes Major LGBTQ-Inclusive Non-Discrimination Ordinance,Human Rights Campaign,Washington,DC,http://www.hrc.org/blog/second-mississippi-city-passes-major-lgbtq-inclusive-NDO,,
3/8/17 14:56,"Ky. hate crimes bill could include police, fire, EMTs",WSAZ-TV,Huntington,WV,http://www.wsaz.com/content/news/Ky-hate-crimes-bill-could-include-police-fire-415720033.html,,
3/8/17 15:15,Neighborhood rallies after Carrollton couple's gay pride flag burned,FOX 4 News,Dallas,Texas,http://www.fox4news.com/news/240358523-story,,
3/8/17 15:37,Sneed: Rauner opens up on religion in launching hate-crimes plan,Chicago Sun-Times,Chicago,IL,http://chicago.suntimes.com/news/sneed-rauner-opens-up-on-religion-in-launching-hate-crimes-plan/,,
3/8/17 15:37,Blue Lives Matter Bill Heads to Governor,Tristatehomepage.com,Evansville,IN,http://www.tristatehomepage.com/news/local-news/blue-lives-matter-bill-heads-to-governor/668865706,,
3/8/17 16:56,Senate OKs bill making threats against police a hate crime,News & Observer,Raleigh,NC,http://www.newsobserver.com/news/politics-government/national-politics/article137312208.html,,
3/8/17 18:48,Hate crime: US State Department expresses sorrow over Kansas shooting,Yahoo News,Altadena,California,https://in.news.yahoo.com/hate-crime-us-state-department-034100461.html,,
3/8/17 19:00,Kan. Lawmaker Beefs Up Hate-Crime Law After Shootings,Courthouse News Service,Pasadena,CA,http://www.courthousenews.com/kan-lawmaker-beefs-hate-crime-law-shootings/,,
3/8/17 21:01,TIMELINES 3/9/17,Rockland County Times,Nanuet,NY,http://www.rocklandtimes.com/2017/03/09/timelines-3917/,,
3/8/17 21:51,"Hamad's attorney alleges hate crimes, asks court to dismiss charges",Youngstown Vindicator,Youngstown,OH,http://www.vindy.com/news/2017/mar/09/hamads-attorney-asks-court-to-dismiss-ch/,,
3/8/17 22:11,"Hate Crimes in US Rising, Particularly in Big Cities",Voice of America,,,http://www.voanews.com/a/us-hate-crimes-rising-particularly-in-big-cities/3756604.html,,
3/9/17 8:07,"As More Bomb Threats Target Jewish Schools, Senators Demand Swift Action",Campus Safety Magazine,Framingham,MA,http://www.campussafetymagazine.com/article/more_bomb_threats_target_jewish_schools_senators_demand_swift_action/university,,
3/9/17 8:41,Washington Senate Passes Bill Making Threats Against Police A Hate Crime,OPB News,Portland,OR,http://www.opb.org/news/article/washington-senate-police-threats-hate-crime/,,
3/9/17 9:37,Governor Rauner: 'We Cannot Stay Silent on Hate',eNews Park Forest,Park Forest,IL,https://enewspf.com/2017/03/09/governor-rauner-cannot-stay-silent-hate/,,
3/9/17 9:59,Hate Crime Crackdown: Stronger Penalties for Offenders in New York,Spectrum News,,,http://www.twcnews.com/nys/capital-region/news/2017/03/9/new-york-hate-crime-crackdown.html,,
3/9/17 10:22,Champaign Police Investigating Possible Hate Crime,FOX Illinois,Springfield,Illinois,http://foxillinois.com/news/local/champaign-police-investigating-possible-hate-crime,,
3/9/17 12:15,Here's A Running List Of Bills That Would Make It A Hate Crime To Attack Police,Huffington Post,New York,NY,http://www.huffingtonpost.com/entry/police-hate-crime-bills-list_us_58c19463e4b0d1078ca4dbd9,,
3/9/17 12:35,NYSP troopers complete 4-day training course to help investigate hate crimes,NEWS10 ABC,Albany,New York,http://news10.com/2017/03/09/nysp-troopers-complete-4-day-training-course-to-help-investigate-hate-crimes/,,
3/9/17 12:37,Three men face hate-crimes charges in deadly shooting of transgender woman,Washington Post,Washington,DC,https://www.washingtonpost.com/local/public-safety/three-indicted-on-hate-crimes-charges-in-deadly-shooting-of-transgender-woman/2017/03/09/438a9a54-0500-11e7-b9fa-ed727b644a0b_story.html,,
3/9/17 13:45,Illinois Gov. looks to renew battle against hate crimes,WTHITV.com,Terre Haute,IN,http://wthitv.com/2017/03/09/illinois-gov-looks-to-renew-battle-against-hate-crimes/,,
3/9/17 14:21,"Indian Groups Protest Violence Against Indian Americans, Want Action",India West,San Leandro,CA,http://www.indiawest.com/news/india/indian-groups-protest-violence-against-indian-americans-want-action/article_02c9d102-0513-11e7-ae82-834e1a2082cd.html,,
3/9/17 14:30,Hate Crimes Bill May Gain Traction In Wake Of Olathe Shootings,KCUR,Kansas City,Missouri,http://kcur.org/post/hate-crimes-bill-may-gain-traction-wake-olathe-shootings,,
3/9/17 16:08,The Heat: The Rise of Hate Pt 3,CCTV-America,Washington,DC,https://www.youtube.com/watch?v=74Fh5NIEXl0,,
3/9/17 16:45,Faith column: And who is my neighbor?,The Sun Chronicle,Attleboro,MA,http://www.thesunchronicle.com/foxboro_reporter/opinion/columns/faith-column-and-who-is-my-neighbor/article_976738e3-ee64-53c0-a8ae-042411b87b47.html,,
3/9/17 17:52,FBI calls shooting of Sikh man in Washington 'most likely a hate crime',Fox News,,,http://www.foxnews.com/us/2017/03/10/fbi-calls-shooting-sikh-man-in-washington-most-likely-hate-crime.html,,
3/9/17 18:05,"Washington police, FBI asking public's help in hate crime shooting of Sikh man told to 'go back to your own country'",New York Daily News,,,http://www.nydailynews.com/news/national/wash-police-fbi-public-shooting-sikh-man-article-1.2993768,,
3/9/17 18:15,Authorities: Man held on device charge set Texas mosque fire,AberdeenNews.com,Aberdeen,SD,http://www.aberdeennews.com/wire/us/authorities-man-held-on-device-charge-set-texas-mosque-fire/article_4e96e9a7-7e68-50bb-8518-a3ea4900c7d0.html,,
3/9/17 19:22,Kent Police Chief Ken Thomas and FBI special agent release latest information on alleged hate crime | Press Conference Video,Enumclaw Courier-Herald,Enumclaw,Washington,http://www.courierherald.com/news/kent-police-chief-ken-thomas-and-fbi-special-agent-release-latest-information-on-alleged-hate-crime-press-conference-video/,,
3/9/17 19:45,"Police, FBI seek tips, offer reward in shooting of Sikh man",Yakima Herald-Republic,Yakima,WA,http://www.yakimaherald.com/news/state_news/police-fbi-seek-tips-offer-reward-in-shooting-of-sikh/article_21da3975-46dc-5b3d-adac-021a57778715.html,,
3/9/17 21:03,Ky Senate Advances Emergency Worker Hate Crime Bill,WEKU,Richmond,KY,http://weku.fm/post/ky-senate-advances-emergency-worker-hate-crime-bill,,
3/9/17 21:26,Cuomo bolsters law enforcement training to combat hate crime,The Herald,Rock Hill,SC,http://www.heraldonline.com/news/politics-government/national-politics/article137627518.html,,
3/9/17 21:37,"Hate crime suspect: 'Arab, you need to leave'",KOIN.com,Portland,Oregon,http://koin.com/2017/03/09/hate-crime-suspect-arab-you-need-to-leave/,,
3/10/17 1:22,"Shirtless, swastika-tattooed man convicted of hate crime",SFBay,San Francisco,CA,https://sfbay.ca/2017/03/09/shirtless-swastika-tattooed-man-convicted-of-hate-crime/,,
3/10/17 2:30,Sikh man shooting in US: Kent police terms incident a hate crime,Tech Know Bits,Cumming,GA,http://techknowbits.com/2017/03/sikh-man-shooting-in-us-kent-police-terms-incident-a-hate/,,
