Article Date,Article Title,Organization,City,State,URL,Keywords,Summary
6/20/17 9:30,Boston's Keytar Bear Vows to Play Again After Violent Assault,VICE,Brooklyn,New York,https://www.vice.com/en_us/article/bostons-keytar-bear-vows-to-play-again-after-violent-assault-vgtrn,bear boston busking doin faneuil fenway gofundme hampshire harvard incident keytar mood nbc performer press teen,"Three teens could face hate crime charges after an altercation with the beloved street performer.	After a group of teens allegedly beat up legendary Boston street performer Keytar Bear last weekend, hundreds of fans across the city have donated to a"
6/20/17 9:30,Radicalization of White People' Sees Spike in Hate Crime,41 NBC News,Macon,Georgia,https://www.41nbc.com/2017/06/20/radicalization-of-white-people-sees-spike-in-hate-crime/,antagonistic attack bridge british daily ibn increasingly london mopsque muslim omar osborne radicalization ridiculing telegraph antagonistic attack bridge british daily ibn increasingly london mopsque muslim omar osborne radicalization ridiculing telegraph,"A Muslim neighbor described Osborne as a pleasant, думeveryday guy,дуќ telling Reuters said she had never heard him utter any anti-Muslim rhetoric.	The Daily Telegraph that Osborne had become increasingly antagonistic following the June 4 London Bridge"
6/20/17 9:30,Latest Principal of slain teenдуќs school She was думbelovedдуќ,thetruth24.net,Passaic,NJ,https://thetruth24.net/2017/06/20/latest-principal-of-slain-teens-school-she-was-beloved/,,
6/20/17 9:53,Anti-Transgender Hate Crimes in the US,Clay Center Dispatch,Clay Center,KS,http://www.ccenterdispatch.com/news/state/html_2c0cb7f9-839f-5fd0-87b7-21b1917e92bb.html,abuse caps degrading eyewitness harming ism knowingly lock nice person proactive racism report sexism shares threat transgender truthful turns,"2 Don't Threaten or Abuse. Threats of harming another person will not be tolerated. AND PLEASE TURN OFF CAPS LOCK.	3 Be Truthful. Don't knowingly lie about anyone or anything.	4 Be Nice. No racism, sexism or any sort of -ism that is degrading to another"
6/20/17 10:15,Police: No Evidence Killing Of Virginian Girl Was 'Hate Crime',The Federalist,Towson,MD,https://thefederalist.com/2017/06/20/police-no-evidence-killing-virginian-girl-hate-crime/,crime darwin girl hassanen martinez mcdonalds muslim police ramadan religion torres virginian zio0yivjjk,Police have recovered the body of what they believe to be a 17-year-old Virginian girl who went missing on June 18.	Nabra Hassanen was walking with some friends to McDonalds early Sunday morning between Ramadan prayers when 22-year-old Darwin Martinez
6/20/17 10:15,Two charged with attempted murder in stabbing of bodyguard of well-known alt-right figure,Los Angeles Times,Los Angeles,CA,http://www.latimes.com/local/lanow/la-me-ln-baked-alaska-stabbing-20170620-story.html,alt ardalani bekverdyan bodyguard foreman gionet khodzhasaryan los_angeles monica murder rodriguez stabbing twitter alt ardalani bekverdyan bodyguard foreman gionet khodzhasaryan los_angeles monica murder rodriguez stabbing twitter alt ardalani bekverdyan bodyguard foreman gionet khodzhasaryan los_angeles monica murder rodriguez stabbing twitter alt ardalani bekverdyan bodyguard foreman gionet khodzhasaryan los_angeles monica murder rodriguez stabbing twitter alt ardalani bekverdyan bodyguard foreman gionet khodzhasaryan los_angeles monica murder rodriguez stabbing twitter alt ardalani bekverdyan bodyguard foreman gionet khodzhasaryan los_angeles monica murder rodriguez stabbing twitter alt ardalani bekverdyan bodyguard foreman gionet khodzhasaryan los_angeles monica murder rodriguez stabbing twitter alt ardalani bekverdyan bodyguard foreman gionet khodzhasaryan los_angeles monica murder rodriguez stabbing twitter alt ardalani bekverdyan bodyguard foreman gionet khodzhasaryan los_angeles monica murder rodriguez stabbing twitter alt ardalani bekverdyan bodyguard foreman gionet khodzhasaryan los_angeles monica murder rodriguez stabbing twitter alt ardalani bekverdyan bodyguard foreman gionet khodzhasaryan los_angeles monica murder rodriguez stabbing twitter alt ardalani bekverdyan bodyguard foreman gionet khodzhasaryan los_angeles monica murder rodriguez stabbing twitter,"Two men were charged with attempted murder Tuesday in the stabbing of a man who works as a bodyguard for a nationally known figure popular among the alt-right, prosecutors said.	Edgar Khodzhasaryan, 30, of Glendale, and Arsen Bekverdyan, 31, of Burbank,"
6/20/17 10:26,Cops Suspect Slain Muslim Teen Nabra Hassanen Was Raped,Daily Beast,New York,NY,http://www.thedailybeast.com/cops-suspect-slain-muslim-teen-nabra-hassanen-was-raped,county cutrell darwin fairfax hassanen ice loudoun martinez muslim nabra police raped suspect torres virginia county cutrell darwin fairfax hassanen ice loudoun martinez muslim nabra police raped suspect torres virginia county cutrell darwin fairfax hassanen ice loudoun martinez muslim nabra police raped suspect torres virginia county cutrell darwin fairfax hassanen ice loudoun martinez muslim nabra police raped suspect torres virginia county cutrell darwin fairfax hassanen ice loudoun martinez muslim nabra police raped suspect torres virginia,"Darwin Martinez Torres is locked up for the violent attack on the girl whose death raised fears of a hate crime. ICE said he entered the US illegally.	FAIRFAX, Virginia дуо Authorities suspect Nabra Hassanen may have been raped before she was murdered on"
6/20/17 11:45,The Latest: Funeral service set for slain Muslim teen,Morganton News Herald,Morganton,NC,http://www.morganton.com/news/us/ap/the-latest-funeral-service-set-for-slain-muslim-teen/article_35e34b7b-caec-5f0f-8790-599f47b13d42.html,attacked darwin fairfax hassanen latest martinez mosque muslim nabra police retzer teen torres virginia,"This photo provided by the Fairfax County Police Department shows Darwin Martinez Torres, of Sterling, Va. Martinez Torres was held on a murder charge Monday, June 19, 2017, in the slaying of a teenage Muslim girl who was attacked during a breakfast break"
6/20/17 12:31,Killing of Muslim teen stirs questions about hate crime prosecutions,Washington Post,Washington,DC,https://www.washingtonpost.com/local/public-safety/killing-of-muslim-teen-stirs-questions-about-hate-crime-prosecutions/2017/06/20/4d59e0ac-55ce-11e7-ba90-f5875b7d1876_story.html,crime ezickson hassanen hate hooper islamic killed mosque muslim nabra ramadan religion sterling teen torres virginia crime ezickson hassanen hate hooper islamic killed mosque muslim nabra ramadan religion sterling teen torres virginia crime ezickson hassanen hate hooper islamic killed mosque muslim nabra ramadan religion sterling teen torres virginia crime ezickson hassanen hate hooper islamic killed mosque muslim nabra ramadan religion sterling teen torres virginia crime ezickson hassanen hate hooper islamic killed mosque muslim nabra ramadan religion sterling teen torres virginia crime ezickson hassanen hate hooper islamic killed mosque muslim nabra ramadan religion sterling teen torres virginia crime ezickson hassanen hate hooper islamic killed mosque muslim nabra ramadan religion sterling teen torres virginia crime ezickson hassanen hate hooper islamic killed mosque muslim nabra ramadan religion sterling teen torres virginia,The horrific weekend slaying of Virginia high school student Nabra Hassanen has prompted calls from civil liberties advocates to investigate her killing as a possible hate crime.	Virginia police officials initially said there is no indication the
6/20/17 13:15,Muslims question whether girl's killing was road rage,Fairfield Citizen,Fairfield,Connecticut,http://www.fairfieldcitizenonline.com/news/crime/article/Muslims-question-whether-girl-s-killing-was-road-11233978.php,chaudry crime darwin fairfax girl hassanen hate martinez mosque muslim police sterling torres virginia,"Alanna Durkin Richer and Sarah Rankin, AP	22-year-old Darwin Martinez Torres was arrested and charged with murder after Virginia police found female remains in a pond in Sterling, Virginia, that they believe belong to a teenage girl who went missing early"
