Article Date,Article Title,Organization,City,State,URL,Keywords,Summary
8/3/17 10:15,NAACP Issues Missouri Travel Advisory to African Americans,Investorplace.com,Rockville,MD,http://investorplace.com/2017/08/naacp-missouri-travel-advisory/,africa caucasians crow discrimination gary implored jim missouri muslim naacp racially racist romine senate warning africa caucasians crow discrimination gary implored jim missouri muslim naacp racially racist romine senate warning africa caucasians crow discrimination gary implored jim missouri muslim naacp racially racist romine senate warning africa caucasians crow discrimination gary implored jim missouri muslim naacp racially racist romine senate warning,The warning is designed to bring awareness to Senator Gary Romine's Jim Crow bill дуо SB 43 дуо which makes it more difficult to hold people accountable for racial harassment or discrimination.	думYou have violations of civil rights that are happening to
8/3/17 13:03,Community Voices: We all must do more to prevent hate,The Bakersfield Californian,Bakersfield,CA,http://www.bakersfield.com/opinion/community-voices-we-all-must-do-more-to-prevent-hate/article_d1192d34-77c1-11e7-93ed-b33a4a835243.html,american angeles assaulted bakersfield balmeet california creek dastaar dastaars gurdwara hate nazi oak sikh sikhs american angeles assaulted bakersfield balmeet california creek dastaar dastaars gurdwara hate nazi oak sikh sikhs,"By Balmeet Singh	On Aug. 5, 2012, a neo-Nazi violated the sanctity of a gurdwara, a Sikh house of worship, killing six Americans, injuring others, and shaking the foundation of what it means to be safe as a visible minority in America. Five years later,"
8/3/17 22:24,Wisconsin Sikh tragedy forms mission to combat hatred,Bryan-College Station Eagle,Bryan,TX,http://www.theeagle.com/news/nation/wisconsin-sikh-tragedy-forms-mission-to-combat-hatred/article_e6571815-3169-5e84-aea5-4a02add11f3e.html,creek file kaleka michaelis milwaukee oak saini scaffidi shot sikh sikhs singh temple wisconsin creek file kaleka michaelis milwaukee oak saini scaffidi shot sikh sikhs singh temple wisconsin creek file kaleka michaelis milwaukee oak saini scaffidi shot sikh sikhs singh temple wisconsin,"By IVAN MORENO AP	FILE - In this Aug. 6, 2012 file photo, Oak Creek Mayor Steve Scaffidi speaks during a news conference, in Oak Creek, Wis., where a gunman killed six Sikh Temple Wisconsin members a day earlier. In the five years since the shooting at"
8/4/17 2:33,NAACP Warns Black Travelers To Use 'Extreme Caution' When Visiting Missouri,WBFO,Buffalo,NY,http://news.wbfo.org/post/naacp-warns-black-travelers-use-extreme-caution-when-visiting-missouri,advisory africa american black brown city discrimination drive ferguson kansas missouri missourians naacp race racial star state travel advisory africa american black brown city discrimination drive ferguson kansas missouri missourians naacp race racial star state travel advisory africa american black brown city discrimination drive ferguson kansas missouri missourians naacp race racial star state travel,"By Camila Domonoske дуў 10 hours ago	The NAACP has issued a travel advisory for the state of Missouri, citing recent ""race-based incidents"" and new state legislation that makes it harder for fired employees to prove racial discrimination.	It's the first"
8/4/17 3:07,He was 12. He had just moved to America. Then his Sikh father was murdered.,Washington Post,Washington,DC,https://www.washingtonpost.com/news/acts-of-faith/wp/2017/08/04/his-father-was-murdered-hes-still-grappling-with-what-it-means-to-be-sikh-in-america/,american creek gurdwara hate india kaleka oak palmeet prabhjot prakash ravinder sikh singh temple united wisconsin american creek gurdwara hate india kaleka oak palmeet prabhjot prakash ravinder sikh singh temple united wisconsin american creek gurdwara hate india kaleka oak palmeet prabhjot prakash ravinder sikh singh temple united wisconsin american creek gurdwara hate india kaleka oak palmeet prabhjot prakash ravinder sikh singh temple united wisconsin american creek gurdwara hate india kaleka oak palmeet prabhjot prakash ravinder sikh singh temple united wisconsin american creek gurdwara hate india kaleka oak palmeet prabhjot prakash ravinder sikh singh temple united wisconsin american creek gurdwara hate india kaleka oak palmeet prabhjot prakash ravinder sikh singh temple united wisconsin american creek gurdwara hate india kaleka oak palmeet prabhjot prakash ravinder sikh singh temple united wisconsin american creek gurdwara hate india kaleka oak palmeet prabhjot prakash ravinder sikh singh temple united wisconsin american creek gurdwara hate india kaleka oak palmeet prabhjot prakash ravinder sikh singh temple united wisconsin american creek gurdwara hate india kaleka oak palmeet prabhjot prakash ravinder sikh singh temple united wisconsin american creek gurdwara hate india kaleka oak palmeet prabhjot prakash ravinder sikh singh temple united wisconsin american creek gurdwara hate india kaleka oak palmeet prabhjot prakash ravinder sikh singh temple united wisconsin american creek gurdwara hate india kaleka oak palmeet prabhjot prakash ravinder sikh singh temple united wisconsin american creek gurdwara hate india kaleka oak palmeet prabhjot prakash ravinder sikh singh temple united wisconsin american creek gurdwara hate india kaleka oak palmeet prabhjot prakash ravinder sikh singh temple united wisconsin american creek gurdwara hate india kaleka oak palmeet prabhjot prakash ravinder sikh singh temple united wisconsin american creek gurdwara hate india kaleka oak palmeet prabhjot prakash ravinder sikh singh temple united wisconsin american creek gurdwara hate india kaleka oak palmeet prabhjot prakash ravinder sikh singh temple united wisconsin american creek gurdwara hate india kaleka oak palmeet prabhjot prakash ravinder sikh singh temple united wisconsin american creek gurdwara hate india kaleka oak palmeet prabhjot prakash ravinder sikh singh temple united wisconsin american creek gurdwara hate india kaleka oak palmeet prabhjot prakash ravinder sikh singh temple united wisconsin american creek gurdwara hate india kaleka oak palmeet prabhjot prakash ravinder sikh singh temple united wisconsin,"OAK CREEK, Wis. дуо Prabhjot Singh Rathor entered the sanctuary and bowed low toward the holy book at the front of the room.	Prabhjot's father always told him that he must go to the temple every week, so here he was this Sunday, just like every Sunday and"
8/4/17 5:22,"The Hate Report: Could this be the next big, violent protest?",Reveal,Emeryville,CA,https://www.revealnews.org/blog/hate-report-this-could-be-the-next-big-violent-protest/,alt antifa berkeley charlottesville counterprotesters crimes hate lee nationalist park protest rally report suspect turano unite united virginia,"By Aaron Sankin / August 4, 2017	In this week's Hate Report: a rally dubbed думUnited The Rightдуќ has the potential to throw a Virginia city into chaos, a look at why hate crime victims don't report their attackers to police and an alt-right warrior's"
8/4/17 7:15,Sikhs in America: A History of Hate,ProPublica,New York,NY,https://www.propublica.org/article/sikhs-in-america-hate-crime-victims-and-bias,american bellingham bhullar crimes hate immigrants india khalsa mukker muslim nanak riot sikh sikhs singh turban washington american bellingham bhullar crimes hate immigrants india khalsa mukker muslim nanak riot sikh sikhs singh turban washington american bellingham bhullar crimes hate immigrants india khalsa mukker muslim nanak riot sikh sikhs singh turban washington american bellingham bhullar crimes hate immigrants india khalsa mukker muslim nanak riot sikh sikhs singh turban washington,"Demonized as immigrants. Mistaken for Muslims. For more than a century, Sikhs in the US have faced suspicion and violence.	by AC Thompson, ProPublica August 4, 2017	The 1907 episode in a seaside timber town in Washington came to be known as the Bellingham"
8/4/17 10:48,AVP has learned of an anti-transgender attack on Staten Island,avp.org,New York,NY,https://avp.org/avp-learned-anti-transgender-attack-staten-island/,,
8/4/17 13:02,Oregon man accused of racially-charged attack gets probation,Lexington Herald Leader,Lexington,KY,http://www.kentucky.com/living/health-and-medicine/article165501197.html,2vaj1by accused attack attorney brian car davidson deputy district hood leineweber oregonian oregonlive portland probation racist salazar tirade,AP	A 35-year-old man accused of a racist attack on a woman has been sentenced to mental health counseling and two years of probation.	Joseph Leineweber spent a month in jail after the April attack in Portland and will serve no additional time as part of a
8/4/17 13:03,Why we still need affirmative action,Chicago Tribune,Chicago,IL,http://www.chicagotribune.com/news/opinion/letters/ct-why-we-still-need-affirmative-action-20170804-story.html,affirmative american biases conditioning discredits implicit justice magnanimous mexico minorities privilege taught viscerally affirmative american biases conditioning discredits implicit justice magnanimous mexico minorities privilege taught viscerally affirmative american biases conditioning discredits implicit justice magnanimous mexico minorities privilege taught viscerally,"We still need affirmative action. Most white people are taught not to be racists. We are viscerally offended at the idea of hate crimes that target minorities. We do not want to live in an unjust world.	Yet, we have not yet come to terms with the deep and"
