Article Date,Article Title,Organization,City,State,URL,Keywords,Summary
2/25/17 13:03,"Neighbor: Bar attack suspect a 'drunken mess,' not political - KSBY.com | San Luis Obispo and Santa Barbara Area News",KSBY San Luis Obispo News,San Luis Obispo,CA,http://www.ksby.com/story/34602913/neighbor-bar-attack-suspect-a-drunken-mess-not-political,,
2/25/17 13:08,"Neighbor: Bar attack suspect a 'drunken mess,' not political - KATC.com | Continuous News Coverage | Acadiana-Lafayette",KATC Lafayette News,Lafayette,LA,http://www.katc.com/story/34602913/neighbor-bar-attack-suspect-a-drunken-mess-not-political,,
2/25/17 13:45,"Neighbor: Bar attack suspect a 'drunken mess,' not political - WBOC-TV 16, Delmarvas News Leader, FOX 21 -",WBOC TV 16,Salisbury,MD,http://www.wboc.com/story/34606645/neighbor-bar-attack-suspect-a-drunken-mess-not-political,,
2/25/17 14:07,"Neighbor: Kansas bar attack suspect a 'drunken mess,' not political",WBAL Baltimore,Baltimore,MD,http://www.wbaltv.com/article/neighbor-bar-attack-suspect-a-drunken-mess-not-political/8980418,,
2/26/17 18:01,Are Germany's Hate Crimes A Preview Of What Climate Change Could Bring?,Huffington Post,New York,NY,http://www.huffingtonpost.com/entry/germany-hate-crimes-a-preview-of-what-climate-change_us_58b3708fe4b0658fc20f9744,,
2/26/17 23:22,Kansas bar shooting: GoFundMe campaign crosses $1 million,The American Bazaar,Washington,DC,https://www.americanbazaaronline.com/2017/02/27/kansas-bar-shooting-gofundme-campaign-crosses-1-million/,,
2/27/17 1:19,"Deadly Kansas shooting: A senseless crime and a friend lost - KRTV.com | Great Falls, Montana",KRTV Great Falls News,Great Falls,MT,http://www.krtv.com/story/34610864/deadly-kansas-shooting-a-senseless-crime-and-a-friend-lost,,
2/27/17 6:03,"Va. man charged with hate crime after using Muslim slurs, biting victim's face, police say",Washington Post,Washington,DC,https://www.washingtonpost.com/local/public-safety/va-man-charged-with-hate-crime-after-using-muslim-slurs-biting-victims-face-police-say/2017/02/27/8524182a-c819-4c4a-8131-7f93766eeb5e_story.html,,
2/27/17 6:16,Germany sees думalarmingly highдуќ number of anti-migrant crimes,The Republic,Columbus,IN,http://www.therepublic.com/2017/02/27/eu-germany-migrants-hate-crimes/,,
2/27/17 7:08,The Latest: Suspect in bar attack wears jail 'safety smock',The Herald,Rock Hill,SC,http://www.heraldonline.com/news/nation-world/national/article135204329.html,,
2/27/17 7:14,911 Call: Alleged Bar Shooter Said He'd Killed 'Iranians',NBC4 Washington,Washington,DC,http://www.nbcwashington.com/news/national-international/Deadly-Kansas-Bar-Shooting-Vigil-Hearing-414869553.html?akmobile=o,,
2/27/17 9:48,Germany: Thousands of migrants targeted in attacks last year,Binghamton Homepage,Binghamton,New York,http://www.binghamtonhomepage.com/news/world-news/germany-thousands-of-migrants-targeted-in-attacks-last-year/663582783,,
2/27/17 10:00,"Germany: Thousands of migrants targeted in attacks last year - KTVQ.com | Q2 | Continuous News Coverage | Billings, MT",KTVQ Billings News,Billings,MT,http://www.ktvq.com/story/34615080/germany-thousands-of-migrants-targeted-in-attacks-last-year,,
2/27/17 10:21,"Clinton: Trump must speak out against hate crimes, threats",The Hill,Washington,DC,http://thehill.com/blogs/blog-briefing-room/news/321356-clinton-trump-must-speak-out-against-hate-crimes-threats,,
2/27/17 10:45,"Los Angeles area church graffiti investigated as hate crime - KTVN Channel 2 - Reno Tahoe Sparks News, Weather, Video",KTVN,Reno,NV,http://www.ktvn.com/story/34615547/los-angeles-area-church-graffiti-investigated-as-hate-crime,,
2/27/17 14:04,"In India, People React To Killing Of IT Worker In Apparent Hate Crime",WEMU,Ypsilanti,MI,http://wemu.org/post/india-people-react-killing-it-worker-apparent-hate-crime,,
2/27/17 14:41,K-State leader encourages support of international students,Topeka Capital Journal,Topeka,KS,http://cjonline.com/news/local/2017-02-27/k-state-leader-encourages-support-international-students,,
2/27/17 15:03,Woman found fatally shot in Prince George's County,Washington Post,Washington,DC,https://www.washingtonpost.com/local/woman-found-fatally-shot-in-prince-georges-county/2017/02/27/ee113880-fd34-11e6-99b4-9e613afeb09f_story.html,,
2/27/17 15:37,Indiana hate crime bill dies in the Legislature - again,Miami Herald,Miami,FL,http://www.miamiherald.com/news/politics-government/national-politics/article135330294.html,,
2/27/17 15:37,Indiana hate crime bill dies in the Legislature дус again,Brown County Democrat,,,http://www.bcdemocrat.com/2017/02/27/in-xgr-hate-crimes-2/,,
2/27/17 16:41,"FBI investigates Jewish cemetery vandalism in Philly - KRTV.com | Great Falls, Montana",KRTV Great Falls News,Great Falls,MT,http://www.krtv.com/story/34618737/fbi-investigates-jewish-cemetery-vandalism-in-philly,,
2/27/17 19:33,Hate Crimes Bill Dies On Senate Floor Without Vote,Northeast Indiana Public Radio,,,http://wboi.org/post/hate-crimes-bill-dies-senate-floor-without-vote,,
2/27/17 19:45,"Georgia Pair, Who Led Racist Attack At Birthday Party, Gets Combined 35-Year Sentence",News One,New York,NY,https://newsone.com/3682225/georgia-pair-who-led-racist-attack-at-birthday-party-gets-combined-35-year-sentence/,,
2/28/17 5:49,St. Louis suburb victimized by cemetery vandalism mulling hate crimes registry,Jewish Telegraphic Agency,New York,NY,http://www.jta.org/2017/02/28/news-opinion/united-states/st-louis-suburb-victimized-by-cemetery-vandalism-mulling-hate-crimes-registry,,
2/28/17 6:26,St. Louis Vandalized Cemetery Town Mulls Anti-Hate-Crime Resolution,Forward,New York,NY,http://forward.com/fast-forward/364375/st-louis-vandalized-cemetery-town-mulls-anti-hate-crime-resolution/,,
2/28/17 6:48,Kansas Shooting Aftermath: How Do Students in US Universities Feel,Yahoo News,Altadena,California,https://in.news.yahoo.com/kansas-shooting-aftermath-students-us-144339102.html,,
2/28/17 6:48,Clinton Calls On Trump To Speak Out Against Hate Crimes,RTT News,Washington DC,NY,http://www.rttnews.com/2749477/clinton-calls-on-trump-to-speak-out-against-hate-crimes.aspx,,
